freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,ms
2.2,0.5,3.0,6,6,6,6,6,133.184
2.4,0.5,3.0,6,6,6,6,6,130.78400000000002
2.6,0.5,3.0,6,6,6,6,6,128.415
2.8,0.5,3.0,6,6,6,6,6,126.15400000000001
3.2,0.5,3.0,6,6,6,6,6,122.99
2.0,0.7,3.0,6,6,6,6,6,114.09100000000001
2.2,0.7,3.0,6,6,6,6,6,110.77300000000001
2.4,0.7,3.0,6,6,6,6,6,107.962
2.6,0.7,3.0,6,6,6,6,6,105.522
2.8,0.7,3.0,6,6,6,6,6,103.47200000000001
2.0,0.9,3.0,6,6,6,6,6,101.591
3.0,0.7,3.0,6,6,6,6,6,101.46500000000002
2.2,0.9,3.0,6,6,6,6,6,98.36299999999999
2.4,0.9,3.0,6,6,6,6,6,95.7
2.0,1.1,3.0,6,6,6,6,6,93.92999999999999
2.6,0.9,3.0,6,6,6,6,6,93.42099999999999
2.0,1.3,3.0,6,6,6,6,6,92.575
2.8,0.9,3.0,6,6,6,6,6,91.33500000000001
2.2,1.1,3.0,6,6,6,6,6,90.73700000000001
2.2,1.3,3.0,6,6,6,6,6,89.367
2.2,1.5,3.0,6,6,6,6,6,88.418
2.4,1.1,3.0,6,6,6,6,6,87.997
2.4,1.3,3.0,6,6,6,6,6,86.61399999999999
2.6,1.1,3.0,6,6,6,6,6,85.715
2.4,1.5,3.0,6,6,6,6,6,85.677
2.6,1.3,3.0,6,6,6,6,6,84.333
2.8,1.1,3.0,6,6,6,6,6,83.771
2.6,1.5,3.0,6,6,6,6,6,83.336
2.8,1.3,3.0,6,6,6,6,6,82.31200000000001
3.0,1.1,3.0,6,6,6,6,6,81.87599999999999
2.8,1.5,3.0,6,6,6,6,6,81.38999999999999
3.2,1.1,3.0,6,6,6,6,6,80.57000000000001
3.0,1.3,3.0,6,6,6,6,6,80.488
3.0,1.5,3.0,6,6,6,6,6,79.63499999999999
3.2,1.3,3.0,6,6,6,6,6,79.13900000000001
3.2,1.5,3.0,6,6,6,6,6,78.24700000000001
2.0,0.5,3.0,6,6,6,6,6,135.84300000000002
2.5,0.5,3.0,6,6,6,6,6,128.97899999999998
3.0,0.5,3.0,6,6,6,6,6,124.45299999999999
2.0,1.0,3.0,6,6,6,6,6,96.944
2.5,1.0,3.0,6,6,6,6,6,90.03
3.0,1.0,3.0,6,6,6,6,6,85.315
2.0,1.5,3.0,6,6,6,6,6,91.69800000000001
2.5,1.5,3.0,6,6,6,6,6,84.52399999999999
3.0,1.5,3.0,6,6,6,6,6,79.63499999999999
2.0,2.0,3.0,6,6,6,6,6,89.95199999999998
2.5,2.0,3.0,6,6,6,6,6,83.08
3.0,2.0,3.0,6,6,6,6,6,78.273
2.0,2.5,3.0,6,6,6,6,6,89.59100000000001
2.5,2.5,3.0,6,6,6,6,6,82.229
3.0,2.5,3.0,6,6,6,6,6,77.60400000000001
2.1,1.0,3.0,6,6,6,6,6,95.636
2.2,1.0,3.0,6,6,6,6,6,94.06200000000001
2.3,1.0,3.0,6,6,6,6,6,92.67399999999999
2.4,1.0,3.0,6,6,6,6,6,91.44800000000002
2.6,1.0,3.0,6,6,6,6,6,89.119
2.7,1.0,3.0,6,6,6,6,6,87.99900000000001
2.8,1.0,3.0,6,6,6,6,6,87.093
2.9,1.0,3.0,6,6,6,6,6,86.18299999999999
2.5,0.6,3.0,6,6,6,6,6,116.02699999999999
2.5,0.7,3.0,6,6,6,6,6,106.625
2.5,0.8,3.0,6,6,6,6,6,99.70899999999999
2.5,0.9,3.0,6,6,6,6,6,94.468
2.5,1.1,3.0,6,6,6,6,6,86.736
2.5,1.2,3.0,6,6,6,6,6,85.991
2.5,1.3,3.0,6,6,6,6,6,85.40100000000001
2.5,1.4,3.0,6,6,6,6,6,84.96199999999999
